Tabela kursów walut - Alior Bank;;;;;
;;;;;
Numer tabeli;20201231155824;;;;
Data;31.12.2020;;;;
Godzina;15:58;;;;
;;;;;
Dewizy;;;;;
Kraj;Nazwa waluty;Kod waluty;Skup;Sprzedaż;Zmiana %;Spread %
USA;dolar;1 USD;3.5466;3.8924;-0.2639;9.30
USA**;dolar2**;1 USD2;3.4402;4.0092;-0.2637;15.28
USA***;dolar3***;1 USD3;3.5373;3.9017;-0.2633;9.80
USA;dolar****;1 USD;3.5707;3.8681;-0.3452;8.00
EUGiW;euro;1 EUR;4.3518;4.7751;-0.4192;9.28
EUGiW**;euro2**;1 EUR2;4.2212;4.9184;-0.4191;15.26
EUGiW***;euro3***;1 EUR3;4.3404;4.7865;-0.4202;9.78
EUGiW;euro****;1 EUR;4.3809;4.7458;-0.5324;8.00
Wielka Brytania;funt;1 GBP;4.8423;5.3169;0.1375;9.34
Wielka Brytania**;funt2**;1 GBP;4.6970;5.4764;0.1371;15.32
Wielka Brytania***;funt3***;1 GBP;4.8296;5.3296;0.1372;9.84
Wielka Brytania;funt****;1 GBP;4.8764;5.2827;0.0436;8.00
Szwajcaria;frank;1 CHF;4.1111;4.3360;-0.0369;5.32
Szwajcaria*;frank*;1 CHF*;4.1111;4.3360;-0.0369;5.32
Szwajcaria;frank****;1 CHF;4.0548;4.3926;-0.1069;8.00
Kanada;dolar kanadyjski;1 CAD;2.7876;3.0598;0.0327;9.31
Kanada;dolar kanadyjski****;1 CAD;2.8068;3.0406;-0.0362;8.00
Norwegia;korona norweska;1 NOK;0.4156;0.4562;-0.1095;9.31
Norwegia;korona norweska****;1 NOK;0.4184;0.4532;-0.1762;7.98
Rosja;rubel;1 RUB;0.0470;0.0533;-0.1873;12.60
Rosja;rubel****;1 RUB;0.0481;0.0521;-0.1916;8.00
Dania;korona duńska;1 DKK;0.5848;0.6419;-0.5115;9.31
Dania;korona duńska****;1 DKK1;0.5889;0.6378;-0.5768;7.98
Czechy;korona czeska;1 CZK;0.1656;0.1822;-0.3827;9.54
Czechy;korona czeska****;1 CZK;0.1670;0.1808;-0.5501;7.93
Szwecja;korona szwedzka;1 SEK;0.4339;0.4765;-0.1048;9.36
Szwecja;korona szwedzka****;1 SEK;0.4370;0.4733;-0.2108;7.98
Australia;dolar australijski;1 AUD;2.7426;3.0101;0.3634;9.30
Australia;dolar australijski****;1 AUD;2.7613;2.9913;0.2917;8.00
Rumunia;lej rumuński;1 RON;0.8933;0.9816;-0.4664;9.42
Rumunia;lej rumuński****;1 RON;0.8999;0.9748;-0.5712;7.99
Turcja;lira turecka;1 TRY;0.4778;0.5245;-1.2613;9.32
Turcja;lira turecka****;1 TRY;0.4811;0.5211;-1.3068;7.98
